Ticker,Date,Bid,Ask
YHOO,20110419.627012,16,16.75,USD
YHOO,20110420.627012,16.01,16.75,USD
YHOO,20110421.721536,15.99,16.75,USD
YHOO,20110421.729989,16,16.75,USD
8604.T,20210719.627012,3.7374264212800834,3.743387228969525,USD
8604.T,20210720.627012,3.7284852097459202,3.7381715222412635,USD
8604.T,20210721.721536,3.7918187914462407,3.795544296252142,USD
8604.T,20210722.729989,3.763504954921392,3.7694657626108334,USD
GS,20180418.627012,254.90,257.02,USD
GS,20180419.627012,254.00,256.16,USD
GS,20180420.721536,254.10,255.68,USD
GS,20180423.729989,251.66,252.75,USD
8053.T,20211230.627012,12.666716340064077,12.70397138812309,USD
8053.T,20211229.721536,12.622010282393264,12.651814320840472,USD
8053.T,20211228.729989,12.601147455480216,12.61083376797556,USD
